Código,Departamento,Sección departamento,T.C. (PDI),T.P. (PDI),Total (PDI),ETC (PDI),Tr. Doc. (PDI),Tr. Inv. (PDI),Tr. Aut. (PDI)
305124,INGENIERIA DE LA CONSTRUCCION Y PROYECTOS DE INGENIERIA,INGENIERÍA DE LA CONSTRUCCIÓN ,5,4,9,"7,5",2,15,31
305124,INGENIERIA DE LA CONSTRUCCION Y PROYECTOS DE INGENIERIA,PROYECTOS DE INGENIERÍA ,5,8,13,"9,88",5,8,20
305125,URBANISTICA Y ORDENACION DEL TERRITORIO,URBANÍSTICA Y ORDENACIÓN DEL TERRITORIO ,13,4,17,"15,75",2,13,49
305126,METODOLOGIA DE LAS CIENCIAS DEL COMPORTAMIENTO,METODOLOGÍA DE LAS CIENCIAS DEL COMPORTAMIENTO ,12,1,13,"12,5",21,36,81
305127,HISTORIA Y CIENCIAS DE LA MÚSICA,HISTORIA Y CIENCIAS DE LA MÚSICA ,12,1,13,"12,75",17,33,79
305128,PSICOBIOLOGIA,PSICOBIOLOGÍA ,12,0,12,12,30,42,91
305129,PSIQUIATRIA,PSIQUIATRÍA ,9,6,15,"11,25",10,26,62
305130,"MEDICINA LEGAL, TOXICOLOGIA Y ANTROPOLOGIA FISICA",ANTROPOLOGÍA FÍSICA ,5,0,5,5,8,19,37
305130,"MEDICINA LEGAL, TOXICOLOGIA Y ANTROPOLOGIA FISICA",MEDICINA LEGAL Y FORENSE ,6,1,7,6,22,29,60
305130,"MEDICINA LEGAL, TOXICOLOGIA Y ANTROPOLOGIA FISICA",TOXICOLOGÍA ,5,0,5,5,14,18,34
