World Rank,University,Total Score,11 Years Articles,Current Articles,11 Years Citations,Current Citations,Ave. Citations,H-Index,HiCi Papers,Hi-Impact Journal Articles
254,Paul Sabatier University,48.0,49.8,49.6,48.1,49.3,47.9,49.5,45.9,45.6
258,Darmstadt University of Technology,47.9,50.7,52.7,48.9,44.6,48.3,44.8,46.9,45.1
258,Ludwig Maximilian University of Munich,47.9,49.5,43.9,50.8,45.8,51.5,45.1,48.7,47.9
258,Indian Institute of Technology - Kharagpur,47.9,50.6,53.6,46.4,49.9,45.4,49.6,45.0,43.7
258,University of Houston,47.9,46.4,49.2,46.3,46.0,48.1,49.0,47.8,49.8
258,University of Nebraska- Lincoln,47.9,48.2,46.3,48.8,46.0,50.1,49.0,45.9,49.3
258,George Mason University,47.9,50.8,49.5,50.2,47.7,49.6,49.3,44.0,43.7
258,University of Bordeaux,47.9,48.1,47.4,47.4,46.7,48.1,53.7,45.9,47.5
265,Aarhus University,47.8,47.7,48.7,47.7,46.4,49.1,49.0,44.0,50.3
265,University of Strasbourg,47.8,43.5,45.3,45.4,47.2,49.8,58.2,45.9,49.8
265,Czech Technical University,47.8,48.9,50.9,47.5,48.0,47.7,45.7,47.8,45.6
268,Hunan University,47.7,47.4,51.4,45.8,50.5,46.4,49.7,44.0,47.5
269,Shanghai University,47.6,46.2,48.5,44.8,50.5,45.6,54.3,45.9,47.0
269,Ecole Polytechnique,47.6,46.6,45.3,47.1,46.4,49.2,45.3,51.6,48.4
269,Aalborg University,47.6,49.6,49.0,49.1,46.6,49.2,45.3,47.8,44.2
269,University of Bergen,47.6,48.4,47.9,48.0,50.4,48.9,46.2,48.7,43.7
269,Lund University,47.6,47.7,47.6,48.6,45.1,50.3,48.8,46.9,46.5
269,The University of Texas- M. D. Anderson Cancer Center,47.6,40.1,41.2,45.3,44.3,62.2,48.6,49.7,51.2
269,Université du Québec à Montréal,47.6,47.9,46.6,48.1,47.5,49.4,53.8,45.0,45.1
269,University of Athens,47.6,49.9,47.3,47.4,47.8,47.0,53.9,45.0,45.1
269,University of South Carolina,47.6,43.9,45.5,46.3,50.3,51.5,54.2,48.7,43.7
278,University of Delaware,47.5,46.7,44.9,48.6,45.5,51.6,48.9,47.8,47.0
278,University of Zurich,47.5,45.2,45.3,49.4,45.3,55.4,45.0,46.9,47.9
278,University of Naples Federico II,47.5,48.7,49.3,46.6,48.2,46.6,45.7,47.8,46.5
278,University of Liverpool,47.5,49.3,47.7,49.2,44.9,49.7,44.9,45.9,47.9
278,University of Glasgow,47.5,48.4,45.8,48.0,45.8,48.7,48.9,50.6,44.7
283,"The University of York, UK",47.4,51.1,47.3,49.3,44.3,48.4,44.7,47.8,45.6
283,University of Paris VII: Denis Diderot,47.4,50.1,49.2,48.0,44.7,47.6,44.8,45.9,48.4
283,University of Victoria,47.4,47.2,45.3,46.6,49.4,47.8,54.1,46.9,45.1
