TIPO DE PROYECTO,REFERENCIA,TITULO,ENTIDAD SOLICITANTE,CENTRO,DURACIÓN (AÑOS),COSTES DIRECTOS (EUROS),CONTRATOS PREDOC.,INVESTIGADOR PRINCIPAL
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,DER2013-47655-P,RIESGOS NATURALES Y DERECHO. ESPECIAL CONSIDERACION A LOS RIESGOS LIGADOS A LA DINAMICA FLUVIAL Y LITORAL: SU REACION CON EL CAMBIO CLIMATICO,UNIVERSIDAD DE GRANADA,FACULTAD DE DERECHO,3,38500,0,Estanislao Arana Garcia
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,DER2013-48813-C2-1-P,ESTUDIO TRANSVERSAL DE LOS PRESTAMOS HIPOTECARIOS RESPONSABLES,UNIVERSIDAD DE GRANADA,FACULTAD DE DERECHO,3,20000,0,Klaus Jochen Albiez Dohrmann
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,CSO2013-47288-P,"NARRATIVAS TRANSMEDIALES: NUEVOS MODOS DE FICCION AUDIOVISUAL, COMUNICACION PERIODISTICA Y PERFORMANCE EN LA ERA DIGITAL""",UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,3,88000,0,Domingo Sanchez-Mesa Martinez
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,FFI2013-43813-P,LENGUA Y LITERATURA DEL JUDAISMO CLASICO: RABINICO Y MEDIEVAL,UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,3,27000,0,Maria Carmen Caballero Navas
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,FFI2013-44041-P,"LA CONFIGURACION DEL PATRON POETICO ESPAÑOL TRAS LA GUERRA CIVIL: RELACIONES LITERARIAS, CULTURALES Y SOCIALES",UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,3,11000,0,Maria Encarnacion Alonso Valero
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,FFI2013-46207-P,ORALIA DIACRONICA DEL ESPAÑOL (ODE). HUMANIDADES DIGITALES Y RECUPERACION DEL PATRIMONIO LINGUISTICO-DOCUMENTAL,UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,4,40000,0,Mª Teresa Garcia Godoy
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,HAR2013-41278-P,"EX BAETICA SIGILLATAE: TRANSFERENCIAS TECNOLOGICAS, PRODUCCION Y CIRCULACION DE VAJILLAS CERAMICAS EN E_ SUR DE LA PENINSULA IBERICA (SS. I-II D.C.)",UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,3,16000,0,Mª Isabel Fernandez Garcia
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,HAR2013-41635-P,LA UARATIO Y SUS VARIACIONES. LA HOMOLOGACION EN EL PROCESO DEL TRAZADO Y ORIENTACION DE ESTRUCTURAS ORTOGONALES EN EPOCA ROMANA Y SUS PRECEDENTES,UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,3,18000,0,Margarita Orfila Pons
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,HAR2013-42865-P,"INNOVACION, CONTINUIDAD E HIBRIDACION. LAS SOCIEDADES DE LAS EDADES DEL COBRE Y BRONCE EN EL SUR DE LA PENINSULA IBERICA",UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,4,50000,0,Gonzalo Aranda Jimenez
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,HAR2013-43976-P,EL TRIUNFO DEL BARROCO EN LA ESCULTURA ANDALUZA E HISPANOAMERICANA,UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,3,22000,0,Lazaro Gila Medina
