FECHA,AÑO,Doctorando,TITULO_TESIS,APELLIDO1,APELLIDO2,NOMBRE
23-11-2012,2012,"ESPEJO CARPIO, FRANCISCO JAVIER",OBTENCIÓN DE HIDROLIZADOS DE PROTEÍNAS DE LECHE DE CABRA CON ACTIVIDAD INHIBIDORA DE LA ENZIMA CONVERTIDORA DE LA ANGIOTENSINA,GUADIX,ESCOBAR,ANTONIO MARÍA
23-11-2012,2012,"ESPEJO CARPIO, FRANCISCO JAVIER",OBTENCIÓN DE HIDROLIZADOS DE PROTEÍNAS DE LECHE DE CABRA CON ACTIVIDAD INHIBIDORA DE LA ENZIMA CONVERTIDORA DE LA ANGIOTENSINA,ALMECIJA,RODRÍGUEZ,MARÍA CARMEN
23-11-2012,2012,"ORTEGA-ROLDAN   OLIVIA, BLANCA",INSATISFACCION CORPORAL Y TRASTORNOS DE LA CONDUCTA ALIMENTARIA: MECANISMOS EMOCIONALES Y PSICOFISIOLOGICOS,RODRÍGUEZ,RUIZ,SONIA
23-11-2012,2012,"GOMEZ MATEOS, JESUS",EVALUACION DE LA CALIDAD DE PROGRAMAS DE SERVICIOS SOCIALES,LATIESA,RODRÍGUEZ,BIENVENIDA MARGARITA
23-11-2012,2012,"ESPEJO CARPIO, FRANCISCO JAVIER",OBTENCIÓN DE HIDROLIZADOS DE PROTEÍNAS DE LECHE DE CABRA CON ACTIVIDAD INHIBIDORA DE LA ENZIMA CONVERTIDORA DE LA ANGIOTENSINA,GUADIX,ESCOBAR,EMILIA MARÍA
23-11-2012,2012,"ORTEGA-ROLDAN   OLIVIA, BLANCA",INSATISFACCION CORPORAL Y TRASTORNOS DE LA CONDUCTA ALIMENTARIA: MECANISMOS EMOCIONALES Y PSICOFISIOLOGICOS,MATA,MARTÍN,JOSÉ LUIS
26-11-2012,2012,"PEREZ CASTAÑO, ESTEFANIA",APLICABILIDAD DEL PERFIL DE ESTEROLES PARA LA CUANTIFICACION DE ACEITE DE OLIVA EN ALIMENTOS,GÁZQUEZ,EVANGELISTA,DOMINGO
26-11-2012,2012,"TALLON BENITEZ, MIGUEL",FUSION BAYESIANA DE PARES DE IMAGENES CON DIFERENTE EXPOSICION,MOLINA,SORIANO,RAFAEL
26-11-2012,2012,"CALDERON ALVARADO, KADIYA DEL CARMEN",ESTUDIO DE LA MICROBIOTA INVOLUCRADA EN LOS PROCESOS DEPURADORES PARA EL TRATAMIENTO DE AGUAS RESIDUALES URBANAS MEDIANTE REACTORES DE MEMBRANA (MBR)Y REACTORES DE BIOPELICULA (MBBR),RODELAS,GONZÁLEZ,MARÍA BELÉN
26-11-2012,2012,"TALLON BENITEZ, MIGUEL",FUSION BAYESIANA DE PARES DE IMAGENES CON DIFERENTE EXPOSICION,MATEOS,DELGADO,JAVIER
26-11-2012,2012,"GARCIA JIMENEZ, ENRIQUE",IDENTIDAD CATOLICA Y JUVENTUD UNIVERSITARIA EN LA SOCIEDAD DE HOY: LA IDENTIDAD DEL CATOLICO NO PRACTICANTE,BECERRIL,RUIZ,DIEGO
26-11-2012,2012,"PEREZ CASTAÑO, ESTEFANIA",APLICABILIDAD DEL PERFIL DE ESTEROLES PARA LA CUANTIFICACION DE ACEITE DE OLIVA EN ALIMENTOS,SÁNCHEZ,VIÑAS,MERCEDES
26-11-2012,2012,"CALVO MATURANA, MARIA DEL CORAL",MATERNIDAD Y VOCES POÉTICAS EN THE ADOPTION PAPERS DE JACKIE KAY: UN ESTUDIO DE ESTILÍSTICA DE CORPUS,FALCES,SIERRA,MARTA
26-11-2012,2012,"JAWABRA, NASER Y.A.",LAS TENDENCIAS DEL ARTE POSTMODERNO Y SU INFLUENCIA EN EL ARTE PALESTINO CONTEMPORANEO,OSAKAR,OLAIZ,PEDRO
