CODIGO,CURSO,TITULO,TASA RENDIMIENTO,TASA EXITO,TASA ABANDONO INICIAL,TASA EFICIENCIA,TASA GRADUACION,TASA ABANDONO
243,2015,GRADUADO/A EN TERAPIA OCUPACIONAL,"91,72","94,28","13,11","99,67","62,07","24,14"
244,2011,GRADUADO/A EN EDUCACIÓN SOCIAL,"90,88","96,6",,,,
244,2012,GRADUADO/A EN EDUCACIÓN SOCIAL,"93,58","96,74",,,,
244,2013,GRADUADO/A EN EDUCACIÓN SOCIAL,"93,67","96,04","5,69",,,
244,2014,GRADUADO/A EN EDUCACIÓN SOCIAL,"94,53","96,51","6,56","98,97",,
244,2015,GRADUADO/A EN EDUCACIÓN SOCIAL,"94,52","97,49","6,25","99,22","46,34","32,52"
245,2013,GRADUADO/A EN CRIMINOLOGÍA,"91,2","96,26",,,,
245,2014,GRADUADO/A EN CRIMINOLOGÍA,"94,46","97,34",,,,
245,2015,GRADUADO/A EN CRIMINOLOGÍA,"89,95","93,94","9,46",,,
249,2011,GRADUADO/A EN TRABAJO SOCIAL,"88,49","93,95",,,,
249,2012,GRADUADO/A EN TRABAJO SOCIAL,"91,2","95,06",,,,
249,2013,GRADUADO/A EN TRABAJO SOCIAL,"91,12","94,58","9,66",,,
249,2014,GRADUADO/A EN TRABAJO SOCIAL,"90,49","94,43","10,06","98,61",,
249,2015,GRADUADO/A EN TRABAJO SOCIAL,"89,39","93,62","8,05","98,55","45,45","38,64"
251,2015,GRADUADO/A EN BIOTECNOLOGÍA,"88,5","93,85",,,,
252,2011,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,"86,32","93,43",,,,
252,2012,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,"85,5","92,65",,,,
252,2013,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,"84,42","91,36","6,75",,,
252,2014,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,"87,58","93,16","8,27","97,41",,
252,2015,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,"85,07","91,75","9,12","98,25","61,75","15,54"
256,2012,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),"85,92","89,7",,,,
256,2013,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),"93,38","95,27",,,,
256,2014,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),"93,66","95,3","7,58",,,
256,2015,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),"93,93","97,03","2,99","98,12",,
257,2011,GRADUADO/A EN EDUCACIÓN PRIMARIA,"83,45","89,23",,,,
257,2012,GRADUADO/A EN EDUCACIÓN PRIMARIA,"87,24","91,85",,,,
257,2013,GRADUADO/A EN EDUCACIÓN PRIMARIA,"90,4","93,26","8,63",,,
257,2014,GRADUADO/A EN EDUCACIÓN PRIMARIA,"90,95","94,77","12,09","97,59",,
257,2015,GRADUADO/A EN EDUCACIÓN PRIMARIA,"91,7","94,68","7,69","98,51","62,13","17,11"
258,2011,GRADUADO/A EN EDUCACIÓN INFANTIL,"90,68","97,37",,,,
258,2012,GRADUADO/A EN EDUCACIÓN INFANTIL,"94,33","97,07",,,,
258,2013,GRADUADO/A EN EDUCACIÓN INFANTIL,"95,96","97,82","9,34",,,
258,2014,GRADUADO/A EN EDUCACIÓN INFANTIL,"95,54","97,9","6,02","98,53",,
258,2015,GRADUADO/A EN EDUCACIÓN INFANTIL,"95,74","97,62","4,59","97,76","75,43","15,92"
259,2011,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"64,72","76,04",,,,
259,2012,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"64,36","76,63",,,,
259,2013,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"72,75","80,81","17,33",,,
259,2014,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"71,14","81,09","24,5","95,89",,
259,2015,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"69,32","80,48","24,57","97,64","22,28","37,13"
260,2011,GRADUADO/A EN BELLAS ARTES,"82,68","93,43",,,,
260,2012,GRADUADO/A EN BELLAS ARTES,"87,01","94,9",,,,
260,2013,GRADUADO/A EN BELLAS ARTES,"85,22","94,91","13,51",,,
260,2014,GRADUADO/A EN BELLAS ARTES,85,"95,73","14,81","98,91",,
