CODIGO,CURSO,TITULO,TASA ABANDONO
290,2013,GRADUADO/A EN LITERATURAS COMPARADAS,
290,2014,GRADUADO/A EN LITERATURAS COMPARADAS,
290,2015,GRADUADO/A EN LITERATURAS COMPARADAS,"54,84"
291,2011,GRADUADO/A EN QUÍMICA,
291,2012,GRADUADO/A EN QUÍMICA,
291,2013,GRADUADO/A EN QUÍMICA,
291,2014,GRADUADO/A EN QUÍMICA,
291,2015,GRADUADO/A EN QUÍMICA,"37,18"
292,2011,GRADUADO/A EN HISTORIA,
292,2012,GRADUADO/A EN HISTORIA,
292,2013,GRADUADO/A EN HISTORIA,
292,2014,GRADUADO/A EN HISTORIA,
292,2015,GRADUADO/A EN HISTORIA,"46,71"
293,2011,GRADUADO/A EN HISTORIA DEL ARTE,
293,2012,GRADUADO/A EN HISTORIA DEL ARTE,
293,2013,GRADUADO/A EN HISTORIA DEL ARTE,
293,2014,GRADUADO/A EN HISTORIA DEL ARTE,
293,2015,GRADUADO/A EN HISTORIA DEL ARTE,"43,57"
294,2012,GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,
294,2013,GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,
294,2014,GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,
294,2015,GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,
296,2011,GRADUADO/A EN INGENIERÍA INFORMÁTICA,
296,2012,GRADUADO/A EN INGENIERÍA INFORMÁTICA,
296,2013,GRADUADO/A EN INGENIERÍA INFORMÁTICA,
296,2014,GRADUADO/A EN INGENIERÍA INFORMÁTICA,
296,2015,GRADUADO/A EN INGENIERÍA INFORMÁTICA,"54,28"
297,2012,GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,
297,2013,GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,
297,2014,GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,
297,2015,GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,
298,2011,GRADUADO/A EN PEDAGOGÍA,
298,2012,GRADUADO/A EN PEDAGOGÍA,
298,2013,GRADUADO/A EN PEDAGOGÍA,
298,2014,GRADUADO/A EN PEDAGOGÍA,
298,2015,GRADUADO/A EN PEDAGOGÍA,"39,34"
299,2011,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,
299,2012,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,
299,2013,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,
299,2014,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,
299,2015,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,48
407,2011,GRADUADO/A EN ENFERMERÍA (CEUTA),
