Código,Departamento ,Val. Puntos Profesorado ,Val. Cred. Matrícula,Asignación Ej. 2015,Asignación Ej. 2014,% 15-14 ,% Adap. ,Adaptac. ,Distribución Baremo ,Dietas Asist. ,Distribución 2015
305086,CIENCIA POLÍTICA Y DE LA ADMINISTRACIÓN ,"11.950,50 ","17.218,08 ","33.518,58 ","31.982,88 ","4,80 ","4,80 ","0,00 ","33.518,58 ","1.314,00 ","34.832,58"
305087,DERECHO INTERNACIONAL PÚBLICO Y RELACIONES INTERNACIO ,"6.231,00 ","8.200,28 ","18.781,28 ","21.279,25 ","-11,74 ","-5,00 ","-1.063,96 ","20.215,29 ","0,00 ","20.215,29"
305088,DERECHO DEL TRABAJO ,"11.160,00 ","17.960,80 ","33.470,80 ","35.633,89 ","-6,07 ","-5,00 ","-1.781,69 ","33.852,20 ","5.256,00 ","39.108,20"
305089,GENÉTICA ,"6.975,00 ","8.648,64 ","19.973,64 ","16.647,62 ","19,98 ","10,00 ","1.664,76 ","18.312,38 ","0,00 ","18.312,38"
305090,HISTORIA ANTIGUA ,"4.464,00 ","4.406,16 ","13.220,16 ","13.558,19 ","-2,49 ","-2,49 ","0,00 ","13.220,16 ","1.314,00 ","14.534,16"
305091,PEDIATRÍA ,"4.138,50 ","7.364,72 ","15.853,22 ","15.231,22 ","4,08 ","4,08 ","0,00 ","15.853,22 ","0,00 ","15.853,22"
305092,INGENÍERIA CIVIL ,"11.764,50 ","11.569,54 ","27.684,04 ","47.554,26 ","-41,78 ","-5,00 ","-2.377,71 ","45.176,55 ","0,00 ","45.176,55"
305093,ÓPTICA ,"12.834,00 ","13.939,20 ","31.123,20 ","28.297,56 ","9,99 ","9,99 ","0,00 ","31.123,20 ","0,00 ","31.123,20"
305094,MEDICINA PREVENTIVA Y SALUD PÚBLICA ,"5.905,50 ","12.405,18 ","22.660,68 ","18.462,92 ","22,74 ","10,00 ","1.846,29 ","20.309,21 ","0,00 ","20.309,21"
305095,TRADUCCIÓN E INTERPRETACIÓN ,"20.739,00 ","16.194,82 ","41.283,82 ","43.385,24 ","-4,84 ","-4,84 ","0,00 ","41.283,82 ","0,00 ","41.283,82"
305096,ESTOMATOLOGÍA ,"24.598,50 ","13.437,60 ","42.386,10 ","40.082,01 ","5,75 ","5,75 ","0,00 ","42.386,10 ","0,00 ","42.386,10"
305098,PSICOLOGÍA SOCIAL Y METODOLOGÍA DE LAS CIENCIAS DEL COM ,"10.509,00 ","18.152,64 ","33.011,64 ","33.065,90 ","-0,16 ","-0,16 ","0,00 ","33.011,64 ","2.628,00 ","35.639,64"
305099,ORGANIZACIÓN DE EMPRESAS ,"19.390,50 ","27.601,20 ","51.341,70 ","50.669,22 ","1,33 ","1,33 ","0,00 ","51.341,70 ","17.082,00 ","68.423,70"
305100,MECÁNICA DE MEDIOS CONTINUOS Y TEORÍA DE ESTRUCTURAS ,"12.276,00 ","21.109,44 ","37.735,44 ","47.985,66 ","-21,36 ","-5,00 ","-2.399,28 ","45.586,38 ","0,00 ","45.586,38"
