World Rank,University,Total Score,11 Years Articles,Current Articles,11 Years Citations,Current Citations,Ave. Citations,H-Index,HiCi Papers,Hi-Impact Journal Articles
178,University of Padua,50.0,50.5,50.4,48.0,52.1,46.9,55.8,48.4,49.4
178,"University of Texas, Arlington",50.0,48.2,49.2,49.0,49.8,50.8,58.4,49.3,47.5
178,Iowa State University,50.0,52.5,48.1,53.3,47.8,51.7,52.0,49.3,46.7
181,"University of Illinois, Chicago",49.9,51.1,47.2,51.6,49.9,51.1,48.6,50.2,49.8
181,University of Auckland,49.9,50.0,50.7,49.8,48.2,49.8,52.0,51.1,47.5
181,Concordia University,49.9,53.4,51.9,50.1,51.0,47.3,52.4,46.6,47.8
184,Brown University,49.8,48.2,45.3,51.7,47.2,55.3,55.2,51.1,46.3
184,University of Houston,49.8,47.0,49.8,46.8,49.9,48.4,55.6,51.1,50.1
184,Boston University,49.8,49.1,46.1,51.7,48.0,53.7,48.4,53.0,48.6
187,University of Zurich,49.7,45.9,47.1,50.3,51.1,57.4,52.4,47.5,48.6
187,Albert Ludwigs University of Freiburg,49.7,46.7,44.4,49.4,48.4,53.6,58.2,52.1,47.8
187,Technical University of Berlin,49.7,52.3,51.1,49.4,48.1,47.4,48.4,49.3,50.5
190,University of Bonn,49.6,47.0,48.0,49.2,50.1,52.9,52.3,47.5,51.3
190,Shanghai University,49.6,47.5,54.1,45.6,53.3,45.6,56.0,48.4,47.8
190,University of Iowa,49.6,49.0,46.3,52.9,46.7,55.8,48.2,47.5,50.9
193,University of Notre Dame,49.5,46.6,47.2,50.0,49.1,55.2,55.5,52.1,43.2
193,Paris-Sud University - Paris 11,49.5,51.4,49.3,51.1,47.6,50.1,48.3,50.2,47.8
195,University of Copenhagen,49.4,48.1,47.6,50.9,50.8,53.9,48.7,51.1,45.2
195,Rice University,49.4,47.9,44.2,52.4,43.9,56.7,45.2,57.6,45.9
195,"University of California, Santa Barbara",49.4,52.8,49.7,52.7,46.7,50.7,45.9,46.6,49.4
195,University of Pisa,49.4,53.1,51.6,51.4,48.2,49.0,52.0,48.4,43.2
195,Polytechnic University of Turin,49.4,52.7,53.5,49.2,48.4,46.8,48.4,47.5,48.6
200,Aristotle University of Thessaloniki,49.3,52.8,52.3,50.9,46.6,48.7,43.0,49.3,49.0
200,National Sun Yat-sen University,49.3,50.4,48.8,48.3,49.4,47.4,52.2,43.8,55.1
202,"Indian Institute of Technology, Delhi",49.2,46.4,46.7,47.3,51.6,50.2,55.8,50.2,47.5
202,University of Porto,49.2,49.4,49.3,47.9,52.1,47.6,55.8,45.6,48.6
202,Aalborg University,49.2,49.5,51.4,48.0,50.7,47.8,55.7,47.5,45.5
202,"University of Colorado, Boulder",49.2,48.0,46.3,52.4,46.1,56.7,45.8,53.0,45.5
206,University of Wollongong,49.1,47.8,53.9,45.8,50.9,45.8,52.4,45.6,50.5
206,Leiden University,49.1,46.7,44.8,52.7,47.7,60.2,48.3,49.3,45.2
208,Norwegian University of Science and Technology,49.0,52.2,49.6,50.4,48.9,48.5,52.1,48.4,43.6
208,Hong Kong Baptist University,49.0,48.0,49.2,48.7,47.7,50.5,48.3,45.6,53.6
208,Rensselaer Polytechnic Institute,49.0,50.5,45.3,54.3,45.0,55.5,48.0,49.3,44.8
208,Walter and Eliza Hall Institute of Medical Research,49.0,38.2,39.5,46.5,44.4,100.0,36.6,53.0,41.3
208,McMaster University,49.0,50.7,49.1,51.3,47.5,51.1,43.3,53.0,45.2
208,University of Lancaster,49.0,46.0,46.0,47.1,51.0,50.4,52.4,50.2,50.1
214,University of Helsinki,48.9,46.9,48.3,47.1,47.4,49.1,55.3,48.4,49.8
214,Université catholique de Louvain,48.9,45.6,43.2,50.1,47.8,57.6,52.0,47.5,49.8
214,University of Innsbruck,48.9,44.6,45.7,47.4,49.3,54.1,55.5,46.6,50.5
214,"Indian Institute of Technology, Kharagpur",48.9,52.3,54.7,47.5,50.3,45.1,52.3,44.7,45.5
214,Uppsala University,48.9,48.7,49.6,49.4,50.3,50.8,48.6,48.4,46.3
214,"State University of New York, Stony Brook",48.9,50.4,52.7,48.7,48.7,47.9,48.5,44.7,49.4
220,University of Groningen,48.8,47.2,47.1,49.6,47.4,53.2,48.3,50.2,47.8
220,Ben-Gurion University of the Negev,48.8,53.6,50.9,50.1,46.1,47.2,45.8,47.5,48.6
220,Washington University in St. Louis,48.8,45.6,43.9,49.1,47.9,55.5,48.4,53.0,47.5
220,University of Basel,48.8,39.9,40.8,48.5,42.0,97.2,41.5,46.6,42.1
220,Technische Universität Dresden,48.8,47.7,48.1,47.1,48.5,48.0,55.4,46.6,50.5
225,University of Ljubljana,48.7,51.2,51.4,48.6,49.0,47.2,52.1,47.5,44.4
226,Osaka University,48.6,56.3,56.3,47.7,46.2,43.5,45.8,46.6,45.2
226,State University of Campinas,48.6,50.6,50.5,47.2,49.4,45.7,52.2,43.8,50.9
228,Friedrich Alexander University of Erlangen Nuremberg,48.5,47.5,47.4,49.7,48.5,52.8,52.1,46.6,45.9
228,Georgia State University,48.5,47.2,46.1,50.5,46.6,54.8,48.2,50.2,45.5
228,University of Central Florida,48.5,49.3,47.5,50.8,46.1,52.1,45.8,46.6,49.8
