Posicion,Nombre,Rama,Disciplina,Especialidad,Citas,Indice h,Citas (ultimos 5 años),Indice h (ultimos 5 años),Perfil
870,Manuel Carmelo Feria Garcia,Ciencias Humanas y Artes,Traduccion e Interpretacion,Traduccion e Interpretacion,99,5,47,4,https://scholar.google.com/citations?user=xg-P7sYAAAAJ&hl=es
871,Juan Mata Anaya,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Didactica de la Lengua y la Literatura,98,5,70,4,https://scholar.google.com/citations?user=mTFVVegAAAAJ&hl=es
872,Julian Garrido Sanchez,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,98,6,98,6,https://scholar.google.com/citations?user=rKHHaRoAAAAJ&hl=es
873,M Pilar Nuñez Delgado,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Didactica de la Lengua y la Literatura,98,5,69,4,https://scholar.google.com/citations?user=-Z92OoIAAAAJ&hl=es
874,Jorge Exposito Lopez,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Mi©todos de Investigacion y Diagnostico en Educacion,97,5,53,4,https://scholar.google.com/citations?user=0KnDU0QAAAAJ&hl=es
875,Ana Maria Plata Diaz,Ciencias Sociales y Juri­dicas,Ciencias Economicas y Empresariales,Economi­a Financiera y Contabilidad,97,6,94,6,https://scholar.google.com/citations?user=4LMwPncAAAAJ&hl=es
876,Juan Manuel Trujillo Torres,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Didactica y Organizacion Escolar,97,7,91,7,https://scholar.google.com/citations?user=-unNs4wAAAAJ&hl=es
877,Raimundo Aguayo Estremera,Ciencias Sociales y Juri­dicas,Psicologi­a - Sociales,Psicologi­a Social,96,3,95,3,https://scholar.google.com/citations?user=riJ_3tUAAAAJ&hl=es
878,Lina Marcela Combita Merchan,Ciencias de la Salud,Psicologi­a - Salud,Psicologi­a Experimental,96,3,96,3,https://scholar.google.com/citations?user=X_f1VWQAAAAJ&hl=es
879,Jose Noel Perez Asensio,Ciencias Exactas y Naturales,Ciencias de la Tierra,Estratigrafi­a y Paleontologi­a,95,7,95,7,https://scholar.google.com/citations?user=DL_jGZIAAAAJ&hl=es
880,Josi© Manuel Martos Ortega,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Didactica y Organizacion Escolar,95,3,76,3,https://scholar.google.com/citations?user=ePWR_NUAAAAJ&hl=es
881,Jose Joaquin Muros Molina,Ciencias de la Salud,Farmacia,Bioqui­mica y Biologi­a Molecular - Farmacia,95,5,90,5,https://scholar.google.com/citations?user=iBr7KFkAAAAJ&hl=es
882,Monica Triviño Mosquera,Ciencias de la Salud,Psicologi­a - Salud,Psicologi­a Experimental,94,4,90,4,https://scholar.google.com/citations?user=-JqI6UAAAAAJ&hl=es
883,Ignacio Valverde Espinosa,Ingenieri­a y Tecnologi­a,Ingenieri­a de Edificacion,Construcciones Arquitectonicas,94,4,80,3,https://scholar.google.com/citations?user=KrJJsZsAAAAJ&hl=es
884,Pedro Gonzalez Rodelas,Ciencias Exactas y Naturales,Matematicas,Matematica Aplicada,94,6,48,5,https://scholar.google.com/citations?user=sn2ibWcAAAAJ&hl=es
885,Jose Maria Gonzalez Gonzalez,Ciencias Sociales y Juri­dicas,Psicologi­a - Sociales,Psicologi­a Social,94,6,67,5,https://scholar.google.com/citations?user=XVEtXU0AAAAJ&hl=es
886,Peter Alexander Bouvrie Morales,Ciencias Exactas y Naturales,Fi­sica,"Fi­sica Atomica, Molecular y Nuclear",93,5,93,5,https://scholar.google.com/citations?user=iLDutRIAAAAJ&hl=es
887,Maria Martin Morales,Ingenieri­a y Tecnologi­a,Ingenieri­a de Edificacion,Construcciones Arquitectonicas,92,4,91,4,https://scholar.google.com/citations?user=NinUMKUAAAAJ&hl=es
888,Rafael M Marti­nez Sanchez,Ciencias Humanas y Artes,Filosofi­a y Letras,Prehistoria y Arqueologi­a,92,4,86,4,https://scholar.google.com/citations?user=qGJ5D8oAAAAJ&hl=es
889,Pedro Frances Gomez,Ciencias Humanas y Artes,Filosofi­a y Letras,Filosofi­a,92,5,50,4,https://scholar.google.com/citations?user=Z8i7-d8AAAAJ&hl=es
890,Francisco Jesus Martinez Murcia,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,"Teori­a de la Señal, Telematica y Comunicaciones",91,5,91,5,https://scholar.google.com/citations?user=mf8unzQAAAAJ&hl=es
