Código,Departamento,Sección departamento,Cr. Teo. ,Cr. Prac. ,Coef. Exp. ,Cr. Pra. CEx. ,Cred. Tot. ,Matrículas ,Cred. Pon.
305086,CIENCIA POLÍTICA Y DE LA ADMINISTRACIÓN,CIENCIA POLÍTICA Y DE LA ADMINISTRACIÓN ,427,"27,5",1,"27,5","454,5",6023,36483
305087,DERECHO INTERNACIONAL PÚBLICO Y RELACIONES INTERNACIONALES,DERECHO INTERNACIONAL PÚBLICO Y RELACIONES INTERNACI ,107,7,1,7,114,2434,"15383,5"
305088,DERECHO DEL TRABAJO,DERECHO DEL TRABAJO Y DE LA SEGURIDAD SOCIAL ,"277,5",8,1,8,"285,5",6470,"39818,5"
305089,GENÉTICA,GENÉTICA ,89,8,"1,8","14,4","103,4",1629,"9926,8"
305090,HISTORIA ANTIGUA,HISTORIA ANTIGUA ,"113,5",11,1,11,"124,5",1604,"9601,5"
305091,PEDIATRÍA,PEDIATRÍA ,"45,5","12,5",2,25,"70,5",847,14349
305092,INGENÍERIA CIVIL,INGENIERÍA DEL TERRENO ,44,"14,5","1,6","23,2","67,2",1310,"6839,7"
305092,INGENÍERIA CIVIL,INGENIERÍA E INFRAESTRUCTURA DE LOS TRANSPORTES ,56,7,"1,6","11,2","67,2",807,"4970,7"
305092,INGENÍERIA CIVIL,INGENIERÍA ELÉCTRICA ,47,"2,5","1,6",4,51,726,4263
305092,INGENÍERIA CIVIL,TECNOLOGÍAS DEL MEDIO AMBIENTE ,"102,5",4,"1,6","6,4","108,9",1249,"6711,6"
305093,ÓPTICA,ÓPTICA ,236,7,"1,6","11,2","247,2",3021,20487
305094,MEDICINA PREVENTIVA Y SALUD PÚBLICA,MEDICINA PREVENTIVA Y SALUD PÚBLICA ,88,"9,5","1,6","15,2","103,2",2257,18649
305095,TRADUCCIÓN E INTERPRETACIÓN,TRADUCCIÓN E INTERPRETACIÓN ,646,2,"1,2","2,4","648,4",4588,"27528,4"
305096,ESTOMATOLOGÍA,ESTOMATOLOGÍA ,169,"39,5",2,79,248,2560,20516
305098,PSICOLOGÍA SOCIAL Y METODOLOGÍA DE LAS CIENCIAS DEL COMPORTAMIENTO,PSICOLOGÍA SOCIAL ,"250,5",30,"1,2",36,"286,5",6587,"41903,5"
305099,ORGANIZACIÓN DE EMPRESAS,ORGANIZACIÓN DE EMPRESAS ,469,14,1,14,483,10818,"64156,5"
305100,MECÁNICA DE MEDIOS CONTINUOS Y TEORÍA DE ESTRUCTURAS,INGENIERÍA HIDRÁULICA ,76,14,"1,6","22,4","98,4",1292,"8699,1"
305100,MECÁNICA DE MEDIOS CONTINUOS Y TEORÍA DE ESTRUCTURAS,MECÁNICA DE MEDIOS CONTINUOS Y TEORÍA DE ESTRUCTURA ,"140,5","18,5","1,6","29,6","170,1",5257,"33087,9"
305101,MÉTODOS DE INVESTIGACIÓN Y DIAGNÓSTICO EN EDUCACIÓN,MÉTODOS DE INVESTIGACIÓN Y DIAGNÓSTICO EN EDUCACIÓN ,"435,5","14,5","1,2","17,4","452,9",4766,"47364,7"
305102,MÉTODOS CUANTITATIVOS PARA LA ECONOMÍA Y LA EMPRESA,MÉTODOS CUANTITATIVOS PARA LA ECONOMÍA Y LA EMPRESA ,156,3,1,3,159,4380,"25744,5"
305103,LITERATURA ESPAÑOLA,LITERATURA ESPAÑOLA ,236,28,1,28,264,1862,11172
305104,QUÍMICA FARMACÉUTICA Y ORGÁNICA,QUÍMICA FARMACEÚTICA Y ORGÁNICA ,42,3,"1,8","5,4","47,4",1777,"10611,9"
305105,COMERCIALIZACIÓN E INVESTIGACIÓN DE MERCADOS,COMERCIALIZACIÓN E INVESTIGACIÓN DE MERCADOS ,250,8,1,8,258,5125,31188
305106,BOTÁNICA,BOTÁNICA ,92,"8,5","1,8","15,3","107,3",1925,"12460,5"
305107,FISIOLOGÍA VEGETAL,FISIOLOGÍA VEGETAL ,93,"7,5","1,8","13,5","106,5",1704,"11209,5"
305108,HISTOLOGÍA,HISTOLOGÍA ,"87,5",4,2,8,"95,5",2484,14841
305109,TEORÍA E HISTORIA ECONÓMICA,FUNDAMENTOS DEL ANÁLISIS ECONÓMICO ,60,0,1,0,60,2172,13032
305109,TEORÍA E HISTORIA ECONÓMICA,HISTORIA E INSTITUCIONES ECONÓMICAS ,75,"1,5",1,"1,5","76,5",1771,"10594,5"
305110,ANTROPOLOGÍA SOCIAL,ANTROPOLOGÍA SOCIAL ,229,2,1,2,231,2130,12927
305111,TRABAJO SOCIAL Y SERVICIOS SOCIALES,TRABAJO SOCIAL Y SERVICIOS SOCIALES,144,0,"1,2",0,144,2909,21486
305112,FISIOTERAPIA,FISIOTERAPIA,258,0,2,0,258,2147,13374
305113,ENFERMERÍA,ENFERMERÍA,909,"1,5",2,3,912,10572,80190
305114,"TEORÍA DE LA SEÑAL, TELEMÁTICA Y COMUNICACIONES",INGENIERÍA TELEMÁTICA ,"175,5",27,"1,6","43,2","218,7",1422,10992
305114,"TEORÍA DE LA SEÑAL, TELEMÁTICA Y COMUNICACIONES",TEORÍA DE LA SEÑAL Y COMUNICACIONES ,"160,5","22,5","1,6",36,"196,5",1510,"9224,7"
305115,ELECTRÓNICA Y TECNOLOGÍA DE COMPUTADORES,ELECTRÓNICA ,176,"31,5","1,6","50,4","226,4",1562,"9851,2"
305115,ELECTRÓNICA Y TECNOLOGÍA DE COMPUTADORES,TECNOLOGÍA ELECTRÓNICA ,153,3,"1,6","4,8","157,8",1534,"9423,6"
305116,ECOLOGÍA,ECOLOGÍA ,"74,5",2,"1,8","3,6","78,1",1860,"11194,6"
305117,ZOOLOGÍA,ZOOLOGÍA,"149,5","12,5","1,8","22,5",172,3208,"23771,2"
305118,BIOQUÍMICA Y BIOLOGÍA MOLECULAR I ,BIOQUÍMICA Y BIOLOGÍA MOLECULAR I ,"147,5",22,"1,8","39,6","187,1",2369,"17578,3"
305119,BIOQUÍMICA Y BIOLOGÍA MOLECULAR II ,BIOQUÍMICA Y BIOLOGÍA MOLECULAR II ,97,"4,5","1,8","8,1","105,1",2225,"13414,6"
305120,BIOQUÍMICA Y BIOLOGÍA MOLECULAR 3 E INMUNOLOGÍA,INMUNOLOGÍA ,"56,5",14,"1,8","25,2","81,7",1410,"11457,3"
305120,BIOQUÍMICA Y BIOLOGÍA MOLECULAR 3 E INMUNOLOGÍA,BIOQUÍMICA Y BIOLOGÍA MOLECULAR III ,"58,5",4,"1,8","7,2","65,7",1714,"11502,5"
305121,ECONOMÍA INTERNACIONAL Y DE ESPAÑA,ECONOMÍA INTERNACIONAL Y DE ESPAÑA ,213,"7,5",1,"7,5","220,5",4168,"25666,5"
305122,FILOSOFÍA II,FILOSOFÍA ,208,14,1,14,222,1846,11076
305123,FISICOQUIMICA,FÍSICO QUÍMICA ,79,23,"1,8","41,4","120,4",2512,21633
305124,INGENIERIA DE LA CONSTRUCCION Y PROYECTOS DE INGENIERIA,CIENCIA DE LOS MATERIALES E INGENIERÍA METALÚRGICA ,32,4,"1,6","6,4","38,4",831,"4824,6"
305124,INGENIERIA DE LA CONSTRUCCION Y PROYECTOS DE INGENIERIA,PROYECTOS DE INGENIERÍA ,27,30,"1,6",48,75,1250,"14025,6"
305125,URBANISTICA Y ORDENACION DEL TERRITORIO,URBANISTICA Y ORDENACION DEL TERRITORIO,"89,5","9,5","1,6","15,2","104,7",2058,"12074,7"
305126,METODOLOGIA DE LAS CIENCIAS DEL COMPORTAMIENTO,METODOLOGIA DE LAS CIENCIAS DEL COMPORTAMIENTO,48,9,"1,2","10,8","58,8",1874,12684
305127,HISTORIA Y CIENCIAS DE LA MÚSICA,HISTORIA Y CIENCIAS DE LA MÚSICA,248,4,"1,4","5,6","253,6",2003,"12990,8"
305128,PSICOBIOLOGIA,PSICOBIOLOGIA,72,15,"1,4",21,93,2108,"14913,6"
305129,PSIQUIATRIA,PSIQUIATRIA,56,5,2,10,66,1259,7494
305130,"MEDICINA LEGAL, TOXICOLOGIA Y ANTROPOLOGIA FISICA",ANTROPOLOGÍA FÍSICA ,33,3,1,3,36,587,3522
305130,"MEDICINA LEGAL, TOXICOLOGIA Y ANTROPOLOGIA FISICA",MEDICINA LEGAL Y FORENSE ,50,"10,5","1,6","16,8","66,8",1154,"8701,3"
305130,"MEDICINA LEGAL, TOXICOLOGIA Y ANTROPOLOGIA FISICA",TOXICOLOGÍA ,35,15,"1,2",18,53,885,10408
